"Date/Time","Bat","Chlorophyll","2m Chlorophyll","Temp","2m DO%","2m DO","","16m DO%","16m DO","1 m T","3m T","15m T","13m T","11m T","9m T","5m T","7m T","17m T","19m T","Underwater PAR","Surface PAR","","6m DO%sat","6m DO","","9.6 m DO%sat","9.6 m DO","Chlorophyll","mv"
07/01/2019 12:03:00 PM,12.0,6.37,0.9,20.58,109.2,9.83,9.76,42.9,4.91,21.10,20.93,10.93,11.22,12.01,14.00,19.51,17.75,10.35,9.96,559,919,18.31,77.9,7.35,,,,59.9,29.95
07/02/2019 12:03:00 PM,11.6,8.24,1.3,22.59,113.0,9.78,9.90,42.3,4.82,22.59,21.98,11.02,11.52,12.11,13.67,20.93,17.74,10.43,9.98,619,646,19.55,82.0,7.54,12.98,65.1,6.90,66.9,33.47
07/03/2019 12:03:00 PM,12.0,5.72,0.6,22.14,113.2,9.88,9.86,42.1,4.80,22.47,21.67,10.94,11.52,12.04,14.75,20.34,18.60,10.33,10.12,333,504,19.58,82.5,7.58,12.45,59.0,6.33,79.5,39.77
07/04/2019 12:03:00 PM,11.9,5.33,0.6,23.56,114.6,9.73,9.87,37.4,4.26,23.48,21.88,10.93,11.51,12.08,14.78,20.47,18.95,10.42,10.33,478,956,19.80,81.6,7.47,12.78,61.6,6.56,74.9,37.47
07/05/2019 12:03:00 PM,11.9,5.70,0.8,24.63,117.0,9.73,9.83,36.7,4.19,25.03,22.44,10.76,11.42,12.51,14.06,20.46,17.73,10.38,10.28,460,739,19.99,80.2,7.31,13.09,58.0,6.14,82.3,41.17
07/06/2019 12:03:00 PM,11.9,5.10,0.6,25.89,114.5,9.29,10.00,37.6,4.27,26.13,25.54,10.77,11.67,12.79,14.85,20.96,18.73,10.54,10.29,601,828,20.55,87.8,7.90,13.16,60.9,6.43,157.0,78.52
07/07/2019 12:03:00 PM,11.9,5.72,0.7,24.26,111.5,9.34,9.97,33.1,3.76,24.75,24.56,10.75,11.46,12.47,13.58,21.46,18.44,10.41,10.19,445,1350,20.55,84.3,7.60,13.01,54.0,5.72,121.7,60.85
07/08/2019 12:03:00 PM,12.1,5.39,0.6,24.46,110.6,9.22,9.90,32.9,3.75,24.80,24.22,10.93,11.65,12.30,13.77,21.89,17.92,10.44,10.26,1061,790,19.89,70.0,6.39,12.95,54.0,5.73,69.4,34.69
07/09/2019 12:03:00 PM,11.9,6.53,0.9,24.24,111.2,9.31,9.99,32.1,3.65,24.72,23.11,10.99,11.55,12.11,13.56,20.49,18.48,10.50,10.25,357,570,19.98,71.9,6.55,12.77,53.7,5.73,75.2,37.58
07/10/2019 12:03:00 PM,11.9,5.86,0.7,23.67,112.1,9.50,10.10,29.7,3.37,24.07,23.76,11.14,11.65,12.55,14.45,21.31,18.12,10.54,10.38,476,557,20.31,69.7,6.31,13.22,56.1,5.91,64.6,32.28
